2025-01-14 01:05:36 LogWrapper init() ./logs/main.log
2025-01-14 01:05:36 Bot started with Trade Settings:
{'n_ma': 12, 'n_std': 2.0, 'maxspread': 0.04, 'mingain': 0.06, 'riskreward': 1.5}

2025-01-14 01:05:36 Bot started
2025-01-14 03:14:10 process_candles triggered:['GBPJPY']
2025-01-14 03:15:04 process_candles triggered:['GBPJPY']
2025-01-14 03:16:07 process_candles triggered:['GBPJPY']
2025-01-14 03:17:01 process_candles triggered:['GBPJPY']
2025-01-14 03:18:04 process_candles triggered:['GBPJPY']
2025-01-14 03:19:08 process_candles triggered:['GBPJPY']
2025-01-14 03:20:01 process_candles triggered:['GBPJPY']
2025-01-14 03:21:05 process_candles triggered:['GBPJPY']
2025-01-14 03:22:19 process_candles triggered:['GBPJPY']
2025-01-14 03:23:02 process_candles triggered:['GBPJPY']
2025-01-14 03:24:05 process_candles triggered:['GBPJPY']
2025-01-14 03:25:09 process_candles triggered:['GBPJPY']
2025-01-14 03:26:02 process_candles triggered:['GBPJPY']
2025-01-14 03:27:06 process_candles triggered:['GBPJPY']
2025-01-14 03:28:10 process_candles triggered:['GBPJPY']
2025-01-14 03:29:03 process_candles triggered:['GBPJPY']
2025-01-14 03:30:07 process_candles triggered:['GBPJPY']
2025-01-14 03:33:59 process_candles triggered:['GBPJPY']
2025-01-14 03:34:10 process_candles triggered:['GBPJPY']
2025-01-14 03:35:03 process_candles triggered:['GBPJPY']
2025-01-14 03:36:07 process_candles triggered:['GBPJPY']
2025-01-14 03:37:01 process_candles triggered:['GBPJPY']
2025-01-14 03:38:04 process_candles triggered:['GBPJPY']
2025-01-14 03:39:08 process_candles triggered:['GBPJPY']
2025-01-14 03:40:01 process_candles triggered:['GBPJPY']
2025-01-14 03:41:05 process_candles triggered:['GBPJPY']
2025-01-14 03:42:09 process_candles triggered:['GBPJPY']
2025-01-14 03:43:02 process_candles triggered:['GBPJPY']
2025-01-14 03:44:06 process_candles triggered:['GBPJPY']
2025-01-14 03:45:09 process_candles triggered:['GBPJPY']
2025-01-14 03:46:02 process_candles triggered:['GBPJPY']
2025-01-14 03:47:59 process_candles triggered:['GBPJPY']
2025-01-14 03:48:10 process_candles triggered:['GBPJPY']
2025-01-14 03:49:24 process_candles triggered:['GBPJPY']
2025-01-14 03:50:07 process_candles triggered:['GBPJPY']
2025-01-14 03:51:21 process_candles triggered:['GBPJPY']
2025-01-14 03:52:04 process_candles triggered:['GBPJPY']
2025-01-14 03:53:07 process_candles triggered:['GBPJPY']
2025-01-14 03:54:11 process_candles triggered:['GBPJPY']
2025-01-14 03:55:04 process_candles triggered:['GBPJPY']
2025-01-14 03:56:08 process_candles triggered:['GBPJPY']
2025-01-14 03:57:12 process_candles triggered:['GBPJPY']
2025-01-14 03:58:05 process_candles triggered:['GBPJPY']
2025-01-14 03:59:09 process_candles triggered:['GBPJPY']
2025-01-14 04:00:13 process_candles triggered:['GBPJPY']
2025-01-14 04:01:06 process_candles triggered:['GBPJPY']
2025-01-14 04:02:09 process_candles triggered:['GBPJPY']
2025-01-14 04:03:03 process_candles triggered:['GBPJPY']
2025-01-14 04:04:06 process_candles triggered:['GBPJPY']
2025-01-14 04:05:10 process_candles triggered:['GBPJPY']
2025-01-14 04:06:03 process_candles triggered:['GBPJPY']
2025-01-14 04:07:07 process_candles triggered:['GBPJPY']
2025-01-14 04:08:10 process_candles triggered:['GBPJPY']
2025-01-14 04:09:04 process_candles triggered:['GBPJPY']
2025-01-14 04:10:07 process_candles triggered:['GBPJPY']
2025-01-14 04:11:01 process_candles triggered:['GBPJPY']
2025-01-14 04:12:04 process_candles triggered:['GBPJPY']
2025-01-14 04:13:08 process_candles triggered:['GBPJPY']
2025-01-14 04:14:01 process_candles triggered:['GBPJPY']
2025-01-14 04:15:05 process_candles triggered:['GBPJPY']
2025-01-14 04:16:08 process_candles triggered:['GBPJPY']
2025-01-14 04:17:02 process_candles triggered:['GBPJPY']
2025-01-14 04:18:05 process_candles triggered:['GBPJPY']
2025-01-14 04:19:09 process_candles triggered:['GBPJPY']
2025-01-14 04:20:02 process_candles triggered:['GBPJPY']
2025-01-14 04:21:06 process_candles triggered:['GBPJPY']
2025-01-14 04:22:10 process_candles triggered:['GBPJPY']
2025-01-14 04:23:03 process_candles triggered:['GBPJPY']
2025-01-14 04:24:06 process_candles triggered:['GBPJPY']
2025-01-14 04:25:10 process_candles triggered:['GBPJPY']
2025-01-14 04:26:03 process_candles triggered:['GBPJPY']
2025-01-14 04:27:07 process_candles triggered:['GBPJPY']
2025-01-14 04:28:00 process_candles triggered:['GBPJPY']
2025-01-14 04:29:04 process_candles triggered:['GBPJPY']
2025-01-14 04:30:07 process_candles triggered:['GBPJPY']
2025-01-14 04:31:01 process_candles triggered:['GBPJPY']
2025-01-14 04:32:04 process_candles triggered:['GBPJPY']
2025-01-14 04:33:08 process_candles triggered:['GBPJPY']
2025-01-14 04:33:09 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.1102 sl:192.3631 tp:192.5467
2025-01-14 04:34:02 process_candles triggered:['GBPJPY']
2025-01-14 04:34:03 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.1058 sl:192.3535 tp:192.5298
2025-01-14 04:35:06 process_candles triggered:['GBPJPY']
2025-01-14 04:35:07 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.1297 sl:192.2951 tp:192.5112
2025-01-14 04:36:10 process_candles triggered:['GBPJPY']
2025-01-14 04:37:03 process_candles triggered:['GBPJPY']
2025-01-14 04:38:07 process_candles triggered:['GBPJPY']
2025-01-14 04:39:11 process_candles triggered:['GBPJPY']
2025-01-14 04:40:04 process_candles triggered:['GBPJPY']
2025-01-14 04:41:08 process_candles triggered:['GBPJPY']
2025-01-14 04:42:01 process_candles triggered:['GBPJPY']
2025-01-14 04:43:05 process_candles triggered:['GBPJPY']
2025-01-14 04:44:08 process_candles triggered:['GBPJPY']
2025-01-14 04:45:02 process_candles triggered:['GBPJPY']
2025-01-14 04:46:05 process_candles triggered:['GBPJPY']
2025-01-14 04:47:09 process_candles triggered:['GBPJPY']
2025-01-14 04:48:02 process_candles triggered:['GBPJPY']
2025-01-14 04:49:06 process_candles triggered:['GBPJPY']
2025-01-14 04:50:10 process_candles triggered:['GBPJPY']
2025-01-14 04:51:03 process_candles triggered:['GBPJPY']
2025-01-14 04:51:03 Place Trade: TradeDecision(): GBPJPY dir:-1 gain:0.0716 sl:192.5092 tp:192.3899
2025-01-14 04:52:08 process_candles triggered:['GBPJPY']
2025-01-14 04:53:01 process_candles triggered:['GBPJPY']
2025-01-14 04:54:04 process_candles triggered:['GBPJPY']
2025-01-14 04:54:05 Place Trade: TradeDecision(): GBPJPY dir:-1 gain:0.0893 sl:192.5655 tp:192.4167
2025-01-14 04:55:09 process_candles triggered:['GBPJPY']
2025-01-14 04:56:03 process_candles triggered:['GBPJPY']
2025-01-14 04:57:06 process_candles triggered:['GBPJPY']
2025-01-14 04:58:10 process_candles triggered:['GBPJPY']
2025-01-14 04:58:11 Place Trade: TradeDecision(): GBPJPY dir:-1 gain:0.1026 sl:192.6219 tp:192.4509
2025-01-14 04:59:04 process_candles triggered:['GBPJPY']
2025-01-14 05:00:08 process_candles triggered:['GBPJPY']
2025-01-14 05:01:01 process_candles triggered:['GBPJPY']
2025-01-14 05:02:05 process_candles triggered:['GBPJPY']
2025-01-14 05:02:06 Place Trade: TradeDecision(): GBPJPY dir:-1 gain:0.0778 sl:192.6279 tp:192.4982
2025-01-14 05:03:09 process_candles triggered:['GBPJPY']
2025-01-14 05:04:02 process_candles triggered:['GBPJPY']
2025-01-14 05:05:06 process_candles triggered:['GBPJPY']
2025-01-14 05:06:09 process_candles triggered:['GBPJPY']
2025-01-14 05:07:03 process_candles triggered:['GBPJPY']
2025-01-14 05:08:06 process_candles triggered:['GBPJPY']
2025-01-14 05:09:10 process_candles triggered:['GBPJPY']
2025-01-14 05:10:03 process_candles triggered:['GBPJPY']
2025-01-14 05:11:07 process_candles triggered:['GBPJPY']
2025-01-14 05:12:01 process_candles triggered:['GBPJPY']
2025-01-14 05:13:04 process_candles triggered:['GBPJPY']
2025-01-14 05:14:08 process_candles triggered:['GBPJPY']
2025-01-14 05:15:01 process_candles triggered:['GBPJPY']
2025-01-14 05:16:05 process_candles triggered:['GBPJPY']
2025-01-14 05:17:09 process_candles triggered:['GBPJPY']
2025-01-14 05:18:02 process_candles triggered:['GBPJPY']
2025-01-14 05:19:05 process_candles triggered:['GBPJPY']
2025-01-14 05:19:06 Place Trade: TradeDecision(): GBPJPY dir:-1 gain:0.0880 sl:192.5502 tp:192.4035
2025-01-14 05:20:10 process_candles triggered:['GBPJPY']
2025-01-14 05:21:04 process_candles triggered:['GBPJPY']
2025-01-14 05:21:04 Place Trade: TradeDecision(): GBPJPY dir:-1 gain:0.1175 sl:192.6143 tp:192.4185
2025-01-14 05:22:08 process_candles triggered:['GBPJPY']
2025-01-14 05:23:02 process_candles triggered:['GBPJPY']
2025-01-14 05:24:05 process_candles triggered:['GBPJPY']
2025-01-14 05:25:09 process_candles triggered:['GBPJPY']
2025-01-14 05:26:02 process_candles triggered:['GBPJPY']
2025-01-14 05:27:06 process_candles triggered:['GBPJPY']
2025-01-14 05:28:09 process_candles triggered:['GBPJPY']
2025-01-14 05:29:03 process_candles triggered:['GBPJPY']
2025-01-14 05:30:06 process_candles triggered:['GBPJPY']
2025-01-14 05:30:07 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.0609 sl:192.3869 tp:192.4884
2025-01-14 05:31:01 process_candles triggered:['GBPJPY']
2025-01-14 05:31:01 Place Trade: TradeDecision(): GBPJPY dir:1 gain:0.2337 sl:192.0847 tp:192.4742
